anti,algorithm,section,learning_timesteps,environment,env_seed,policy_seed,noise_seed,buffer_seed,parameter,seed_value,model_name,avg_reward
False,PPO,1,300000,Ant-v4,111,222,333,444,noise,15,PPO_1_300000_Ant-v4_111_222_333_444_noise=15,-91.99009014467816
False,PPO,2,300000,Ant-v4,111,222,333,444,noise,2,PPO_2_300000_Ant-v4_111_222_333_444_noise=2,0.4508650463606896
False,PPO,3,300000,Ant-v4,111,222,333,444,noise,7,PPO_3_300000_Ant-v4_111_222_333_444_noise=7,100.44323920747372
