anti,algorithm,section,learning_timesteps,environment,env_seed,policy_seed,noise_seed,buffer_seed,parameter,seed_value,model_name,avg_reward
True,PPO,1,300000,Ant-v4,111,222,333,444,buffer,2,PPO_1_300000_Ant-v4_111_222_333_444_buffer=2,-107.85267631006492
True,PPO,2,300000,Ant-v4,111,222,333,444,buffer,3,PPO_2_300000_Ant-v4_111_222_333_444_buffer=3,4.158912087709785
True,PPO,3,300000,Ant-v4,111,222,333,444,buffer,9,PPO_3_300000_Ant-v4_111_222_333_444_buffer=9,100.7258024425795
