source,Section,SMAPE
env,1,59.74332563729594
env,2,46.779048603053205
env,3,34.44628076004109
env,all,52.08416789883796
buffer,1,61.17236749993526
buffer,2,48.69225154056717
buffer,3,36.54200122647368
buffer,all,53.672047241493225
noise,1,62.841882927165614
noise,2,47.61469316775836
noise,3,30.894895202183992
noise,all,54.00510824346259
policy,all,54.64355779355468
