source,section,SMAPE,env,algorithm
policy,all,8.60684241949165,BipedalWalker-v3,SAC
env,1,9.597655661196963,BipedalWalkerHardcore-v3,PPO
env,2,10.336282126270124,BipedalWalkerHardcore-v3,PPO
env,3,11.5897653133452,BipedalWalkerHardcore-v3,PPO
env,all,10.555785514755842,BipedalWalkerHardcore-v3,PPO
buffer,1,9.558546403257676,BipedalWalkerHardcore-v3,PPO
buffer,2,12.00357109494029,BipedalWalkerHardcore-v3,PPO
buffer,3,12.734861270183934,BipedalWalkerHardcore-v3,PPO
buffer,all,11.40644402213442,BipedalWalkerHardcore-v3,PPO
noise,1,9.476993215842828,BipedalWalkerHardcore-v3,PPO
noise,2,10.347876799134054,BipedalWalkerHardcore-v3,PPO
noise,3,11.234264799465718,BipedalWalkerHardcore-v3,PPO
noise,all,10.486343375116729,BipedalWalkerHardcore-v3,PPO
policy,all,13.496230381353666,BipedalWalkerHardcore-v3,PPO
env,1,12.216470119915993,BipedalWalkerHardcore-v3,SAC
env,2,9.320951715523016,BipedalWalkerHardcore-v3,SAC
env,3,7.194721094181037,BipedalWalkerHardcore-v3,SAC
env,all,9.904482853507888,BipedalWalkerHardcore-v3,SAC
buffer,1,6.16920833620321,BipedalWalkerHardcore-v3,SAC
buffer,2,16.036833813814408,BipedalWalkerHardcore-v3,SAC
buffer,3,6.282892201033875,BipedalWalkerHardcore-v3,SAC
buffer,all,8.542224882344831,BipedalWalkerHardcore-v3,SAC
noise,1,6.086725576360708,BipedalWalkerHardcore-v3,SAC
noise,2,11.335387912237405,BipedalWalkerHardcore-v3,SAC
noise,3,8.56969846874927,BipedalWalkerHardcore-v3,SAC
noise,all,8.475245199890354,BipedalWalkerHardcore-v3,SAC
policy,1,9.7716839540427,BipedalWalkerHardcore-v3,SAC
policy,2,7.401586150312227,BipedalWalkerHardcore-v3,SAC
policy,3,12.084795194836182,BipedalWalkerHardcore-v3,SAC
policy,all,9.62948204567622,BipedalWalkerHardcore-v3,SAC
env,1,10.746202387403711,CarRacing-v2,PPO
env,2,42.588231032808224,CarRacing-v2,PPO
env,3,42.13692013360927,CarRacing-v2,PPO
env,all,39.61358119965032,CarRacing-v2,PPO
buffer,1,8.094866320413407,CarRacing-v2,PPO
buffer,2,34.81907509955765,CarRacing-v2,PPO
buffer,3,40.52275215984788,CarRacing-v2,PPO
buffer,all,35.8086759390059,CarRacing-v2,PPO
noise,1,33.73818914342244,CarRacing-v2,PPO
