anti,algorithm,section,learning_timesteps,environment,env_seed,policy_seed,noise_seed,buffer_seed,parameter,seed_value,model_name,avg_reward
True,SAC,2,5000,Pendulum-v1,111,222,333,444,policy,9,SAC_2_5000_Pendulum-v1_111_222_333_444_policy=9,-897.7335493061224
True,SAC,3,5000,Pendulum-v1,111,222,333,444,policy,6,SAC_3_5000_Pendulum-v1_111_222_333_444_policy=6,-860.9219867432432
False,SAC,1,5000,Pendulum-v1,111,222,333,444,policy,1,SAC_1_5000_Pendulum-v1_111_222_333_444_policy=1,-840.1646585416665
False,SAC,2,5000,Pendulum-v1,111,222,333,444,policy,8,SAC_2_5000_Pendulum-v1_111_222_333_444_policy=8,-797.7849357346939
False,SAC,3,5000,Pendulum-v1,111,222,333,444,policy,4,SAC_3_5000_Pendulum-v1_111_222_333_444_policy=4,-775.5265655540542

True,SAC,1,8333,BipedalWalker-v3,111,222,333,444,env,2,SAC_1_8333_BipedalWalker-v3_111_222_333_444_env=2,-118.61709743243242
True,SAC,2,8333,BipedalWalker-v3,111,222,333,444,env,3,SAC_2_8333_BipedalWalker-v3_111_222_333_444_env=3,-117.259469078125
True,SAC,3,8333,BipedalWalker-v3,111,222,333,444,env,3,SAC_3_8333_BipedalWalker-v3_111_222_333_444_env=3,-117.29516498936172
False,SAC,1,8333,BipedalWalker-v3,111,222,333,444,env,4,SAC_1_8333_BipedalWalker-v3_111_222_333_444_env=4,-110.7656212142857
False,SAC,2,8333,BipedalWalker-v3,111,222,333,444,env,14,SAC_2_8333_BipedalWalker-v3_111_222_333_444_env=14,-107.67486504838708
False,SAC,3,8333,BipedalWalker-v3,111,222,333,444,env,14,SAC_3_8333_BipedalWalker-v3_111_222_333_444_env=14,-104.9104282293578
True,SAC,1,8333,BipedalWalker-v3,111,222,333,444,buffer,8,SAC_1_8333_BipedalWalker-v3_111_222_333_444_buffer=8,-118.9063984
True,SAC,2,8333,BipedalWalker-v3,111,222,333,444,buffer,3,SAC_2_8333_BipedalWalker-v3_111_222_333_444_buffer=3,-119.0291811967213
True,SAC,3,8333,BipedalWalker-v3,111,222,333,444,buffer,4,SAC_3_8333_BipedalWalker-v3_111_222_333_444_buffer=4,-118.10882289411764
